Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;IDREFLIGA;IDREFLIGC;RES_COM;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.9748208646, 2.04908312149;"{""type"": ""Point"", ""coordinates"": [2.049083121493801, 48.97482086455293]}";47916;ANDRESY;ANDRSY;A01852;;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;630387.668;6875405.732
48.8787703685, 2.32226521312;"{""type"": ""Point"", ""coordinates"": [2.322265213118896, 48.87877036848683]}";42972;EUROPE;Europe;A01536;;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650293.832;6864518.863
48.8974022229, 2.34484774875;"{""type"": ""Point"", ""coordinates"": [2.344847748752398, 48.89740222289809]}";44515;PORTE DE CLIGNANCOURT;Porte de Clignancourt;A01537;;M4;Metro;0;0;0;1;0;0;0;0;0;0;M4;0;0;0;RATP;0;1;651967.223;6866576.641
48.866235133, 2.3525493044;"{""type"": ""Point"", ""coordinates"": [2.352549304398545, 48.866235133000394]}";44600;REAUMUR-SEBASTOPOL;Raumur-Sbastopol;A01536 / A01537;;M3 / M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652503.436;6863106.397
48.8521672611, 2.33964633593;"{""type"": ""Point"", ""coordinates"": [2.339646335932881, 48.852167261116506]}";58716;ODEON;Odon;A01537 / A01543;;M4 / M10;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651543.823;6861550.009
48.8516722456, 2.33125629137;"{""type"": ""Point"", ""coordinates"": [2.331256291370013, 48.851672245619895]}";45120;SAINT-SULPICE;Saint-Sulpice;A01537;;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650927.717;6861500.149
48.8839952205, 2.36891270331;"{""type"": ""Point"", ""coordinates"": [2.368912703310147, 48.88399522046632]}";44901;STALINGRAD;Stalingrad;A01535 / A01538 / A01540;;M2 / M5 / M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653719.602;6865071.481
48.8708099836, 2.36102746278;"{""type"": ""Point"", ""coordinates"": [2.361027462783641, 48.87080998359611]}";43417;JACQUES BONSERGENT;Jacques Bonsergent;A01538;;M5;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653129.491;6863610.02
48.8971438185, 2.50640824702;"{""type"": ""Point"", ""coordinates"": [2.506408247015323, 48.897143818483]}";46520;ALLEE DE LA TOUR RENDEZ-VOUS;Alle de la Tour Rendez-Vous;A01761;;T4;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;663811.743;6866461.748
48.9363891471, 2.3636407022;"{""type"": ""Point"", ""coordinates"": [2.363640702197924, 48.93638914706169]}";46327;CIMETIERE DE SAINT-DENIS;Cimetire de Saint-Denis;A01191;;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;653379.945;6870900.622
48.9177837253, 2.41769109334;"{""type"": ""Point"", ""coordinates"": [2.417691093337975, 48.917783725255454]}";42866;DRANCY-AVENIR;Drancy-Avenir;A01191;;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;657324.376;6868801.159
48.8745583847, 2.3213619281;"{""type"": ""Point"", ""coordinates"": [2.321361928104079, 48.87455838471093]}";44857;SAINT-AUGUSTIN;Saint-Augustin;A01542;;M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650223.56;6864051.089
48.8675034238, 2.36382614398;"{""type"": ""Point"", ""coordinates"": [2.363826143977408, 48.86750342377884]}";44617;REPUBLIQUE;Rpublique;A01536 / A01538 / A01541 / A01542 / A01544;;M3 / M5 / M8 / M9 / M11;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653331.816;6863240.697
48.8647276207, 2.36849638711;"{""type"": ""Point"", ""coordinates"": [2.368496387112846, 48.86472762072593]}";45193;OBERKAMPF;Oberkampf;A01538 / A01542;;M5 / M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653671.938;6862929.299
48.8545804991, 2.38556348082;"{""type"": ""Point"", ""coordinates"": [2.385563480822886, 48.85458049908102]}";42560;CHARONNE;Charonne;A01542;;M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654915.201;6861791.142
